id_gephi,node,description_n4_eng,x,y,,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,component,closeness,eigenvector,weight,clustering,betweenness,group_eng,region_2,lat
101,50,La Victoria,25.34844245,-2.73602294,-35.47204588,1,Zone 1,9,48,-67.326501,0.386969815,3131097.9,104,10416,0,0.258474576,0.842600632,143501,0.689716312,0.009041399,Aragua,Jose Felix Ribas,10.218625
116,51,El Consejo,26.93971939,-2.02972412,-34.05944824,1,Zone 1,9,47,-67.2758491,0.385330471,1563803.8,104,10417,0,0.258255715,0.825561307,48800,0.700277521,0.008354656,Aragua,Jose Rafael Revenga,10.2385373
302,146,Altagracia de Orituco,55.28520814,-15.57925415,-61.1585083,1,Zone 1,10,15,-66.3735841,0.301295863,239435.3,112,11218,0,0.221496006,0.136715443,74559,0.457142857,0.016111346,Guarico,Jose Tadeo Monagas,9.8563254
189,147,San Juan De Los Morros,24.25021648,-13.58279419,-57.16558838,1,Zone 1,9,37,-67.3614586,0.360830081,1586527,112,11219,0,0.245769541,0.650388556,126178,0.737237237,0.030732186,Guarico,Juan German Roscio,9.9126704
125,148,El Sombrero,33.67831765,-32.13363647,-94.26727295,1,Zone 1,10,11,-67.0613528,0.290983607,150689.8,112,11220,0,0.219899063,0.082463641,27664,0.527272727,0.012079063,Guarico,Julian Mellado,9.3887516
46,198,Ocumare del Tuy,42.66753388,-6.32061768,-42.64123536,1,Zone 1,9,43,-66.7752171,0.370862607,2272908.6,115,11523,0,0.249590835,0.720836118,144947,0.744186047,0.011118531,Miranda,Lander,10.1175463
30,52,Palo Negro,18.23363113,-4.76153564,-39.52307128,1,Zone 1,9,45,-67.5529725,0.3768293,2661419.2,104,10418,0,0.250410509,0.817346115,114355,0.738383838,0.002059345,Aragua,Libertador,10.1615136
90,199,San Antonio de Los Altos,36.95343475,2.62161254,-24.75677492,1,Zone 1,9,42,-66.9571026,0.366491023,1741552.4,115,11524,0,0.24796748,0.730153195,68255,0.778164925,0.009293206,Miranda,Los Salias,10.3696393
91,53,El Limon,15.89295616,-0.1895752,-30.3791504,1,Zone 1,9,51,-67.6274785,0.396009628,2489572.6,104,10419,0,0.257601351,0.893855607,99852,0.640784314,0.007536915,Aragua,Mario Briceno Iragorry,10.29041
307,54,Ocumare de la Costa,11.44536524,5.83197022,-18.33605956,1,Zone 1,10,13,-67.7690497,0.299497788,84488.6,104,10420,0,0.226765799,0.281810847,12816,0.935897436,1.84E-06,Aragua,Ocumare de la Costa de Oro,10.4600937
234,149,Ortiz,26.47170353,-23.94519043,-77.89038086,1,Zone 1,9,20,-67.2907465,0.322704918,243143.7,112,11221,0,0.232646834,0.310472749,23755,0.636842105,0.039733708,Guarico,Ortiz,9.6201124
158,200,Rio Chico,67.91501542,1.51809692,-26.96380616,1,Zone 1,10,15,-65.971565,0.296978923,295026.1,115,11525,0,0.219740634,0.15497519,37944,0.714285714,0.020414597,Miranda,Paez,10.3385408
179,201,Santa Lucia del Tuy,46.86958809,1.21542358,-27.56915284,1,Zone 1,9,37,-66.6414616,0.350961488,1489788.2,115,11526,0,0.237354086,0.611400384,111197,0.810810811,0.002182205,Miranda,Paz Castillo,10.3300103
18,202,Guarenas,47.64177589,6.05096436,-17.89807128,1,Zone 1,10,33,-66.6168821,0.343040593,2501882.1,115,11527,0,0.236434109,0.504874701,209987,0.793560606,0.070632159,Miranda,Plaza,10.4662629
97,203,Charallave,39.76033172,-3.0064087,-36.0128174,1,Zone 1,9,43,-66.8677563,0.374303929,2219652.6,115,11528,0,0.25374376,0.743185556,117888,0.735326689,0.008942728,Miranda,Rojas,10.2110018
154,55,San Casimiro,35.17556533,-10.50473022,-51.00946045,1,Zone 1,9,36,-67.0136939,0.346714806,526046.2,104,10421,0,0.234615385,0.580057298,25540,0.761904762,0.00176616,Aragua,San Casimiro,9.9995231
17,98,San Joaquin,10.40229664,-1.27154542,-32.54309084,1,Zone 1,10,59,-67.8022516,0.413655998,2254119.7,107,10723,0,0.263157895,1,64124,0.565751023,0.023555673,Carabobo,San Joaquin,10.2599107
155,56,San Sebastian,30.21561927,-12.41607666,-54.83215332,1,Zone 1,9,34,-67.1715739,0.352501952,455411.4,104,10422,0,0.245967742,0.573362223,23279,0.739750446,0.003711508,Aragua,San Sebastian,9.9455938
51,57,Turmero,20.29331531,-2.88012696,-35.76025392,1,Zone 1,9,52,-67.4874107,0.402871455,4203028.2,104,10423,0,0.265679443,0.876797634,211010,0.592760181,0.030863315,Aragua,Santiago Marino,10.2145621
118,58,Las Tejerias,30.3092125,-1.37887574,-32.75775148,1,Zone 1,9,46,-67.1685947,0.380478793,1323258.3,104,10424,0,0.254803676,0.823971472,38574,0.746859903,0.013265861,Aragua,Santos Michelena,10.2568854
26,204,Petare,41.69607124,6.45251464,-17.09497072,1,Zone 1,9,37,-66.8061398,0.349595368,5035452.8,115,11529,0,0.236801242,0.608588673,600351,0.795795796,0.00265138,Miranda,Sucre,10.4775751
1,59,Cagua,21.22950325,-4.26010132,-38.52020264,1,Zone 1,9,50,-67.4576109,0.393691127,2868309.9,104,10425,0,0.262027491,0.868648236,114509,0.657959184,0.01479357,Aragua,Sucre,10.1756523
291,60,Colonia Tovar,26.47170353,3.88040162,-22.23919676,1,Zone 1,9,24,-67.2907465,0.324513401,189961.8,104,10426,0,0.23229246,0.458078423,14161,0.949275362,7.61E-05,Aragua,Tovar,10.4051095
183,205,Cua,39.01185722,-4.42807006,-38.85614012,1,Zone 1,9,40,-66.8915809,0.365398126,2038571.1,115,11530,0,0.248776509,0.690172293,135432,0.766666667,0.004394046,Miranda,Urdaneta,10.1709167
